LSOA Code,LSOA Name,Total samples,Number of exceedances,Exceedance rate (failures/total samples),Latitude,Longitude
E01027303,West Northamptonshire 045E,4,0,0.0,52.13423,-0.9693
E01027305,West Northamptonshire 048E,1,0,0.0,52.09927,-1.22709
E01027306,West Northamptonshire 049C,3,0,0.0,52.11745,-1.13617
E01027307,West Northamptonshire 050C,9,0,0.0,52.08691,-0.93926
E01027308,West Northamptonshire 043D,5,0,0.0,52.20621,-0.74846
E01027244,West Northamptonshire 021E,4,0,0.0,52.25483,-0.92316
E01027310,North Northamptonshire 033B,2,0,0.0,52.30484,-0.71468
E01027311,North Northamptonshire 033C,1,0,0.0,52.30318,-0.70799
E01027312,North Northamptonshire 033D,4,0,0.0,52.30049,-0.71076
E01027313,North Northamptonshire 030A,5,0,0.0,52.30607,-0.68509
E01027314,North Northamptonshire 030B,10,0,0.0,52.29574,-0.68352
E01027316,North Northamptonshire 030C,9,0,0.0,52.30854,-0.67787
E01027317,North Northamptonshire 036A,5,0,0.0,52.29311,-0.69201
E01027318,North Northamptonshire 036B,2,0,0.0,52.29368,-0.70198
E01027319,North Northamptonshire 036C,4,0,0.0,52.29039,-0.71078
E01027320,North Northamptonshire 036D,6,0,0.0,52.28596,-0.69288
E01027185,West Northamptonshire 025B,3,0,0.0,52.25337,-0.88943
E01027174,West Northamptonshire 009A,3,0,0.0,52.2657,-0.80741
E01027175,West Northamptonshire 009B,6,0,0.0,52.26592,-0.81237
E01027176,West Northamptonshire 026C,3,0,0.0,52.26014,-0.80572
E01027177,West Northamptonshire 026D,9,0,0.0,52.25496,-0.80612
E01027178,West Northamptonshire 009C,4,0,0.0,52.27185,-0.81115
E01027179,West Northamptonshire 018A,5,0,0.0,52.25746,-0.85591
E01027180,West Northamptonshire 018B,4,0,0.0,52.25404,-0.85211
E01027181,West Northamptonshire 018C,5,0,0.0,52.25625,-0.84357
E01027182,West Northamptonshire 012C,3,0,0.0,52.26136,-0.84721
E01027183,West Northamptonshire 012D,6,0,0.0,52.27028,-0.84863
E01027184,West Northamptonshire 025A,2,0,0.0,52.25241,-0.87901
E01027173,West Northamptonshire 017D,1,0,0.0,52.25675,-0.86614
E01027186,West Northamptonshire 019B,8,0,0.0,52.25335,-0.87296
E01027187,West Northamptonshire 025C,4,0,0.0,52.24944,-0.88827
E01027188,West Northamptonshire 019C,5,0,0.0,52.2591,-0.87688
E01027189,West Northamptonshire 025D,7,0,0.0,52.25524,-0.88714
E01027190,West Northamptonshire 013A,5,0,0.0,52.26031,-0.90757
E01027191,West Northamptonshire 013B,7,0,0.0,52.25368,-0.90391
E01027192,West Northamptonshire 015A,4,0,0.0,52.25535,-0.89502
E01027193,West Northamptonshire 013C,4,0,0.0,52.27007,-0.92112
E01027194,West Northamptonshire 013D,5,0,0.0,52.26621,-0.91114
E01027195,West Northamptonshire 011A,8,0,0.0,52.2632,-0.83926
E01027161,West Northamptonshire 038D,3,0,0.0,52.21833,-0.90613
E01027148,West Northamptonshire 006B,3,0,0.0,52.27572,-0.89774
E01027149,West Northamptonshire 006C,1,0,0.0,52.27774,-0.89263
E01027151,West Northamptonshire 033A,4,0,0.0,52.2398,-0.91152
E01027152,West Northamptonshire 032A,2,0,0.0,52.2499,-0.90339
E01027153,West Northamptonshire 032B,5,0,0.0,52.24414,-0.89801
E01027154,West Northamptonshire 032C,5,0,0.0,52.2463,-0.90421
E01027155,West Northamptonshire 031A,6,0,0.0,52.24208,-0.89359
E01027156,West Northamptonshire 038A,3,0,0.0,52.22343,-0.90201
E01027158,West Northamptonshire 037A,3,0,0.0,52.22709,-0.90843
E01027159,West Northamptonshire 038B,2,0,0.0,52.22021,-0.89499
E01027160,West Northamptonshire 038C,2,0,0.0,52.22241,-0.91109
E01027196,West Northamptonshire 014A,4,0,0.0,52.26146,-0.82653
E01027162,West Northamptonshire 041A,4,0,0.0,52.2139,-0.90783
E01027163,West Northamptonshire 041B,2,0,0.0,52.20603,-0.91692
E01027164,West Northamptonshire 041C,3,0,0.0,52.21148,-0.89775
E01027165,West Northamptonshire 041D,2,0,0.0,52.20529,-0.90728
E01027166,West Northamptonshire 041E,1,0,0.0,52.20538,-0.89364
E01027167,West Northamptonshire 041F,4,0,0.0,52.2027,-0.89775
E01027169,West Northamptonshire 017B,3,0,0.0,52.2517,-0.86567
