recorddate,ETP_DailyInfluent_ML,WTP_DailyInfluent_ML,ObjectId
6/11/1996 2:00:00 PM,380,469,580
6/12/1996 2:00:00 PM,369,466,581
6/13/1996 2:00:00 PM,354,453,582
6/14/1996 2:00:00 PM,358,461,583
6/15/1996 2:00:00 PM,371,442,584
6/16/1996 2:00:00 PM,350,400,585
6/17/1996 2:00:00 PM,366,457,586
6/18/1996 2:00:00 PM,366,467,587
6/19/1996 2:00:00 PM,417,514,588
6/20/1996 2:00:00 PM,429,468,589
6/21/1996 2:00:00 PM,396,479,590
6/22/1996 2:00:00 PM,405,464,591
6/23/1996 2:00:00 PM,1224,946,592
6/24/1996 2:00:00 PM,800,730,593
6/25/1996 2:00:00 PM,535,532,594
6/26/1996 2:00:00 PM,513,510,595
6/27/1996 2:00:00 PM,517,511,596
6/28/1996 2:00:00 PM,503,501,597
6/29/1996 2:00:00 PM,668,545,598
6/30/1996 2:00:00 PM,727,618,599
7/1/1996 2:00:00 PM,599,540,600
7/2/1996 2:00:00 PM,562,538,601
8/22/1996 2:00:00 PM,419,495,602
2/4/1996 1:00:00 PM,322,415,603
2/5/1996 1:00:00 PM,342,476,604
2/6/1996 1:00:00 PM,329,482,605
2/7/1996 1:00:00 PM,342,483,606
2/8/1996 1:00:00 PM,412,621,607
2/9/1996 1:00:00 PM,699,757,608
2/10/1996 1:00:00 PM,577,672,609
2/11/1996 1:00:00 PM,353,445,610
2/12/1996 1:00:00 PM,410,469,611
2/13/1996 1:00:00 PM,395,459,612
2/14/1996 1:00:00 PM,400,476,613
2/15/1996 1:00:00 PM,380,456,614
2/16/1996 1:00:00 PM,379,457,615
2/17/1996 1:00:00 PM,482,427,616
2/18/1996 1:00:00 PM,455,384,617
2/19/1996 1:00:00 PM,467,437,618
2/20/1996 1:00:00 PM,473,453,619
2/21/1996 1:00:00 PM,439,455,620
2/22/1996 1:00:00 PM,393,455,621
2/23/1996 1:00:00 PM,387,455,622
2/24/1996 1:00:00 PM,393,429,623
2/25/1996 1:00:00 PM,366,390,624
2/26/1996 1:00:00 PM,386,453,625
2/27/1996 1:00:00 PM,427,658,626
