recorddate,COD_mg.L-1,BOD_mg.L-1,Ammonia_mg.L-1,Total_KjeldahlNitrogen_mg.L-1,Nitrogentotal_mg.L-1,NitrateplusNitrite_mg.L-1,ObjectId
5/20/2014 2:00:00 PM,21,NULL,0.07,3.3,NULL,NULL,252
5/21/2014 2:00:00 PM,28,2,0.06,1.5,NULL,NULL,253
5/22/2014 2:00:00 PM,25,NULL,0.06,1.4,NULL,NULL,254
5/25/2014 2:00:00 PM,23,NULL,0.22,2.3,NULL,NULL,255
5/26/2014 2:00:00 PM,21,NULL,0.09,2.2,NULL,NULL,256
5/27/2014 2:00:00 PM,16,NULL,0.05,1.4,NULL,NULL,257
5/28/2014 2:00:00 PM,26,NULL,0.05,2.0,NULL,NULL,258
5/29/2014 2:00:00 PM,24,2,0.04,1.3,12,11,259
6/1/2014 2:00:00 PM,22,NULL,0.07,3.9,NULL,NULL,260
6/2/2014 2:00:00 PM,29,NULL,0.08,1.0,NULL,NULL,261
6/3/2014 2:00:00 PM,17,NULL,0.08,1.4,NULL,NULL,262
6/4/2014 2:00:00 PM,35,2,0.05,1.5,NULL,NULL,263
6/5/2014 2:00:00 PM,24,NULL,0.15,1.5,NULL,NULL,264
6/6/2014 2:00:00 PM,26,NULL,0.12,2.2,NULL,NULL,265
6/9/2014 2:00:00 PM,20,NULL,0.06,2.5,NULL,NULL,266
6/10/2014 2:00:00 PM,15,2,0.07,0.8,22,21,267
6/11/2014 2:00:00 PM,21,NULL,0.07,2.0,NULL,NULL,268
6/12/2014 2:00:00 PM,24,NULL,0.06,2.1,NULL,NULL,269
6/15/2014 2:00:00 PM,31,NULL,0.14,2.5,NULL,NULL,270
6/16/2014 2:00:00 PM,22,2,0.10,2.9,NULL,NULL,271
6/17/2014 2:00:00 PM,28,NULL,0.09,2.9,NULL,NULL,272
6/18/2014 2:00:00 PM,21,NULL,0.10,2.1,NULL,NULL,273
6/19/2014 2:00:00 PM,26,NULL,0.07,2.6,NULL,NULL,274
6/22/2014 2:00:00 PM,26,2,0.06,1.1,17,16,275
6/23/2014 2:00:00 PM,24,NULL,0.07,1.7,NULL,NULL,276
6/24/2014 2:00:00 PM,20,NULL,0.12,2.6,NULL,NULL,277
6/25/2014 2:00:00 PM,20,NULL,0.06,2.6,NULL,NULL,278
6/26/2014 2:00:00 PM,21,NULL,0.05,1.0,NULL,NULL,279
6/29/2014 2:00:00 PM,25,NULL,0.08,1.7,NULL,NULL,280
6/30/2014 2:00:00 PM,20,NULL,0.09,1.7,NULL,NULL,281
6/30/2014 9:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,282
7/1/2014 2:00:00 PM,19,NULL,0.09,3.0,NULL,NULL,283
7/2/2014 2:00:00 PM,23,NULL,0.08,1.6,NULL,NULL,284
7/3/2014 2:00:00 PM,31,NULL,0.08,2.3,NULL,NULL,285
7/6/2014 2:00:00 PM,29,NULL,0.07,1.6,NULL,NULL,286
7/7/2014 2:00:00 PM,23,NULL,0.05,1.8,NULL,NULL,287
7/8/2014 2:00:00 PM,22,3,0.05,1.0,16,15,288
7/9/2014 2:00:00 PM,25,NULL,0.06,1.5,NULL,NULL,289
7/10/2014 2:00:00 PM,21,NULL,0.07,1.9,NULL,NULL,290
7/13/2014 2:00:00 PM,21,NULL,0.05,2.8,NULL,NULL,291
7/14/2014 2:00:00 PM,21,NULL,0.06,2.5,NULL,NULL,292
7/15/2014 2:00:00 PM,19,NULL,0.06,2.5,NULL,NULL,293
7/16/2014 2:00:00 PM,27,NULL,0.07,2.9,NULL,NULL,294
7/16/2014 9:00:00 PM,NULL,3,0.10,NULL,NULL,NULL,295
7/17/2014 2:00:00 PM,23,NULL,0.10,3.2,NULL,NULL,296
7/20/2014 2:00:00 PM,27,NULL,0.09,2.2,NULL,NULL,297
7/21/2014 2:00:00 PM,30,NULL,0.07,2.0,NULL,NULL,298
7/22/2014 2:00:00 PM,29,NULL,0.06,2.7,NULL,NULL,299
7/23/2014 2:00:00 PM,27,NULL,0.05,1.5,NULL,NULL,300
3/31/2015 1:00:00 PM,30,NULL,0.11,1.4,NULL,NULL,301
4/1/2015 1:00:00 PM,33,NULL,0.12,2.5,NULL,NULL,302
4/3/2015 1:00:00 PM,31,NULL,0.10,2.1,NULL,NULL,303
4/6/2015 2:00:00 PM,25,NULL,0.11,1.4,NULL,NULL,304
4/7/2015 2:00:00 PM,24,NULL,0.07,4.0,NULL,NULL,305
4/7/2015 9:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,306
4/8/2015 2:00:00 PM,31,NULL,0.08,1.2,NULL,NULL,307
4/9/2015 2:00:00 PM,32,NULL,0.08,1.4,NULL,NULL,308
4/12/2015 2:00:00 PM,37,NULL,0.08,1.8,NULL,NULL,309
4/13/2015 2:00:00 PM,24,NULL,0.08,1.2,NULL,NULL,310
4/14/2015 2:00:00 PM,30,NULL,0.09,1.8,NULL,NULL,311
4/15/2015 2:00:00 PM,34,NULL,0.07,1.8,NULL,NULL,312
4/15/2015 9:00:00 PM,NULL,3,0.10,1.6,20,19,313
4/16/2015 2:00:00 PM,30,NULL,0.10,2.2,NULL,NULL,314
4/19/2015 2:00:00 PM,32,NULL,0.10,0.7,NULL,NULL,315
4/20/2015 2:00:00 PM,22,NULL,0.15,2.3,NULL,NULL,316
4/21/2015 2:00:00 PM,31,NULL,0.07,1.7,NULL,NULL,317
4/22/2015 2:00:00 PM,22,NULL,0.09,2.4,NULL,NULL,318
4/23/2015 2:00:00 PM,32,NULL,0.05,2.7,NULL,NULL,319
4/23/2015 9:00:00 PM,NULL,3,0.10,NULL,NULL,NULL,320
4/26/2015 2:00:00 PM,34,NULL,0.12,3.0,NULL,NULL,321
4/27/2015 2:00:00 PM,36,NULL,0.10,1.9,NULL,NULL,322
4/28/2015 2:00:00 PM,32,NULL,0.10,2.9,NULL,NULL,323
4/29/2015 2:00:00 PM,32,NULL,0.08,1.1,NULL,NULL,324
4/29/2015 9:00:00 PM,NULL,3,0.10,1.7,16,15,325
4/30/2015 2:00:00 PM,40,NULL,0.10,1.6,NULL,NULL,326
5/3/2015 2:00:00 PM,31,NULL,0.09,1.2,NULL,NULL,327
5/4/2015 2:00:00 PM,40,NULL,0.09,2.0,NULL,NULL,328
5/5/2015 2:00:00 PM,34,NULL,0.07,1.0,NULL,NULL,329
5/6/2015 2:00:00 PM,29,NULL,0.07,4.0,NULL,NULL,330
5/7/2015 2:00:00 PM,33,NULL,0.07,2.3,NULL,NULL,331
5/7/2015 9:00:00 PM,NULL,3,0.10,NULL,NULL,NULL,332
5/10/2015 2:00:00 PM,32,NULL,0.11,1.4,NULL,NULL,333
5/11/2015 2:00:00 PM,30,NULL,0.10,1.2,NULL,NULL,334
5/12/2015 2:00:00 PM,31,NULL,0.07,2.2,NULL,NULL,335
5/13/2015 2:00:00 PM,33,NULL,0.04,1.8,NULL,NULL,336
5/13/2015 9:00:00 PM,NULL,2,0.10,2.2,14,11,337
5/14/2015 2:00:00 PM,29,NULL,0.05,1.6,NULL,NULL,338
5/17/2015 2:00:00 PM,29,NULL,0.10,1.3,NULL,NULL,339
5/18/2015 2:00:00 PM,34,NULL,0.09,2.8,NULL,NULL,340
5/19/2015 2:00:00 PM,33,NULL,0.12,1.1,NULL,NULL,341
