Collected date,Month,Total phosphorus [ug/L],Collection site
2024-08-20,Aug,90.7,4001304702
2024-08-20,Aug,314.0,4001302902
2024-08-20,Aug,31.5,4001309602
2024-11-19,Nov,13.5,8002200702
2024-11-19,Nov,29.2,8004000202
2024-11-19,Nov,11.4,8002201602
2024-05-11,May,11.8,8012305102
2024-06-11,Jun,3.1,8012305302
2024-10-23,Oct,58.2,4001311002
2024-10-22,Oct,114.0,16007200102
2024-09-24,Sep,5.8,3004700102
2024-11-13,Nov,120.0,16018412702
2024-05-21,May,73.7,4001305702
2024-05-21,May,52.2,4001310902
2024-04-07,Apr,20.3,8012304802
2024-06-11,Jun,5.2,8012305702
2024-10-22,Oct,38.9,8002202402
2024-04-07,Apr,18.6,8012305202
2024-06-08,Jun,19.6,8012303002
2024-10-22,Oct,12.7,16006300202
2024-10-22,Oct,6.1,4001305702
2024-11-25,Nov,9.2,3005703002
2024-11-25,Nov,0.1,3005300102
2024-11-25,Nov,0.2,3004700102
2024-12-11,Dec,18.1,16018415502
2024-11-13,Nov,67.1,16018407702
2024-11-13,Nov,21.8,16018413002
2024-04-07,Apr,5.9,8012305302
2024-04-07,Apr,8.2,8012305702
2024-10-22,Oct,196.0,4001307302
2024-10-22,Oct,45.9,4001308102
2024-10-23,Oct,22.3,4001308202
2024-10-22,Oct,12.3,4001310902
2024-04-16,Apr,25.0,12000200902
2024-04-16,Apr,9.7,12000400202
2024-04-16,Apr,31.2,12003100102
2024-10-22,Oct,32.2,8002201602
2024-10-22,Oct,30.8,8002200702
2024-10-22,Oct,44.9,8002100202
2024-10-22,Oct,12.4,8002201002
2024-10-22,Oct,31.0,8004000202
2024-08-19,Aug,639.0,4001308002
2024-08-20,Aug,25.1,4001306302
2024-08-19,Aug,290.0,4001304402
2024-08-19,Aug,86.0,4001302502
2024-08-19,Aug,120.0,4001309702
2024-04-16,Apr,61.7,12002700102
2024-11-11,Nov,15.9,16012401102
2024-11-11,Nov,12.4,16012401402
2024-11-11,Nov,82.8,16010901002
2024-08-28,Aug,7.7,3005702802
2024-08-28,Aug,15.5,3005703502
2024-11-11,Nov,29.1,16010900802
2024-11-11,Nov,17.4,16012401302
2024-04-16,Apr,15.0,12001700102
2024-08-19,Aug,30.4,3001700202
2024-08-19,Aug,18.5,8013500302
2024-08-19,Aug,45.8,8013500502
2024-08-19,Aug,9.0,3003600502
2024-09-23,Sep,16.3,3005700702
2024-09-23,Sep,15.7,3005702902
2024-09-23,Sep,16.0,3005702802
2024-09-23,Sep,10.4,3005701002
2024-10-22,Oct,9.9,8004000802
2024-10-22,Oct,23.4,8002202002
2024-11-13,Nov,27.7,16018411702
2024-12-11,Dec,25.8,16018409302
2024-12-11,Dec,11.8,16018401002
2024-12-11,Dec,23.1,16018409202
2024-12-11,Dec,8.7,16018403302
2024-09-24,Sep,5.9,3004900102
2024-09-24,Sep,10.3,3005703402
2024-11-11,Nov,42.9,16016400102
2024-09-24,Sep,15.4,3005702502
2024-09-24,Sep,7.7,3005300102
2024-09-24,Sep,10.2,3005703002
2024-11-11,Nov,8.0,16015901002
2024-12-11,Dec,6.5,16018410602
2024-09-17,Sep,20.6,8002202002
2024-03-07,Mar,19.4,8012304402
2024-09-24,Sep,13.5,3005703602
2024-09-24,Sep,15.1,3005703702
2024-09-24,Sep,2.3,3005702102
2024-08-28,Aug,22.3,3005702902
2024-08-28,Aug,31.4,3005703202
2024-03-18,Mar,26.3,8013500502
2024-07-15,Jul,68.8,4001306402
2024-07-16,Jul,231.0,4001302902
2024-07-15,Jul,149.0,4001304402
2024-08-27,Aug,10.5,3005703002
2024-08-27,Aug,23.2,3005703302
2024-08-27,Aug,8.8,3004900102
2024-09-24,Sep,5.2,3005703302
2024-09-24,Sep,7.8,3005400102
2024-02-04,Feb,16.7,3007600502
2024-11-03,Nov,19.8,3007500202
2024-11-03,Nov,8.8,3007701302
2024-05-13,May,34.5,3007600602
2024-02-12,Feb,9.2,3007600302
2024-02-13,Feb,12.4,3007500202
2024-02-07,Feb,23.6,3007300202
2024-03-09,Mar,28.1,3007300302
2024-04-06,Apr,26.4,3007300302
2024-06-08,Jun,39.1,3007000402
2024-10-22,Oct,24.8,4001305802
