Collected date [YYYY-MM-DD],Month,Iron [ug/L],Collection site
2024-08-27,Aug,170.0,9000800602
2024-08-27,Aug,444.0,9000800702
2024-08-27,Aug,70.5,9000100402
2024-08-27,Aug,57.6,6005000202
2024-08-27,Aug,59.5,9000100502
2024-08-20,Aug,106.0,17002109502
2024-04-22,Apr,59.5,17002100302
2024-04-22,Apr,117.0,17002108602
2024-04-22,Apr,146.0,17002109202
2024-08-13,Aug,94.0,8005600302
2024-08-13,Aug,30.1,8005600102
2024-08-13,Aug,51.2,8005600902
2024-08-13,Aug,119.0,8007600102
2024-08-13,Aug,96.8,8005600202
2024-09-09,Sep,105.0,8005603902
2024-09-10,Sep,105.0,17002100702
2024-09-10,Sep,37.3,17002106702
2024-09-10,Sep,12.0,17002106502
2024-09-10,Sep,38.4,17002114102
2024-09-25,Sep,487.0,9000800702
2024-09-25,Sep,546.0,9000100402
2024-02-04,Feb,72.6,3007000302
2024-02-04,Feb,109.0,3007300302
2024-02-04,Feb,110.0,3007300202
2024-02-04,Feb,100.0,3007500202
2024-02-04,Feb,83.4,3007600402
2024-02-04,Feb,90.5,3007600302
2024-05-13,May,201.0,3007000402
2024-08-27,Aug,115.0,9000800502
2024-09-25,Sep,92.1,9000800502
2024-09-25,Sep,271.0,9000800602
2024-08-20,Aug,208.0,17002109202
2024-08-20,Aug,273.0,17002100302
2024-08-20,Aug,517.0,17002108602
2024-08-20,Aug,345.0,17002114502
2024-09-24,Sep,65.6,17002100302
2024-09-24,Sep,74.1,17002109502
2024-09-09,Sep,80.1,8005600902
2024-09-09,Sep,137.0,8005600202
2024-09-09,Sep,24.4,8005600102
2024-09-09,Sep,124.0,8005600302
2024-05-13,May,105.0,3007600602
2024-05-13,May,263.0,3007600502
2024-02-07,Feb,229.0,3007300302
2024-02-07,Feb,38.8,3007701302
2024-03-09,Mar,261.0,3007000402
2024-03-09,Mar,165.0,3007000302
2024-06-08,Jun,134.0,3006600102
2024-04-06,Apr,72.2,3006600102
2024-09-25,Sep,64.9,6005000202
2024-09-25,Sep,475.0,9000100502
2024-09-24,Sep,456.0,17002108602
2024-09-24,Sep,268.0,17002114502
2024-10-31,Oct,251.0,9000100402
2024-10-31,Oct,372.0,9000800702
2024-10-31,Oct,85.0,6005000202
2024-10-31,Oct,88.0,9000800502
2024-10-31,Oct,579.0,9000800602
2024-09-24,Sep,91.6,17002109202
2024-09-09,Sep,101.0,8007600102
2024-08-10,Aug,82.7,8007600102
2024-08-10,Aug,83.1,8005600202
2024-04-17,Apr,155.0,17002600402
2024-04-17,Apr,124.0,17002600702
2024-04-17,Apr,156.0,17002600302
2024-04-17,Apr,197.0,17002600202
2024-03-25,Mar,191.0,18207015002
2024-03-27,Mar,1990.0,18207000802
2024-03-27,Mar,44.8,18207006002
2024-03-27,Mar,138.0,18207014502
2024-03-27,Mar,161.0,18207000702
2024-10-31,Oct,109.0,9000100502
2024-09-04,Sep,49.8,17002104102
2024-06-25,Jun,480.0,19006400402
2024-11-26,Nov,681.0,17002108602
2024-11-26,Nov,171.0,17002109202
2024-11-26,Nov,161.0,17002109502
2024-11-26,Nov,402.0,17002114502
2024-11-26,Nov,99.0,17002100302
2024-06-17,Jun,76.6,17002109502
2024-06-17,Jun,303.0,17002109202
2024-08-10,Aug,82.5,8005603902
2024-04-17,Apr,66.8,17002601202
2024-08-10,Aug,133.0,8005600902
2024-08-10,Aug,91.4,8005600302
2024-04-17,Apr,81.2,17002601101
