Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH
Hospital Creek,17000900102,15,26.67,Tier 3,0,,0,,0,,0,,0,,0,,5,40.0,0,,0,,0,,0,,5,40.0,0,,0,,0,,5,0.0
,4001301702,79,26.58,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,28.57,0,,7,57.14,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,28.57,8,0.0
,3013301302,84,26.19,Tier 3,6,100.0,0,,0,,7,0.0,7,14.29,7,57.14,0,,7,100.0,7,0.0,0,,7,0.0,11,9.09,0,,7,0.0,7,0.0,11,27.27
,6008000702,84,26.19,Tier 3,7,57.14,0,,0,,7,0.0,6,16.67,7,42.86,0,,7,42.86,7,0.0,0,,7,0.0,11,81.82,0,,7,0.0,7,28.57,11,0.0
,4001308202,77,25.97,Tier 3,7,85.71,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,57.14,7,0.0,0,,7,0.0,7,85.71,0,,6,0.0,7,14.29,8,12.5
,1010800102,93,25.81,Tier 3,8,100.0,1,0.0,1,0.0,8,0.0,8,12.5,8,0.0,0,,8,75.0,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,0.0,9,0.0
,6006301102,78,25.64,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,25.0
Delisle River,12008600202,78,25.64,Tier 3,7,100.0,0,,0,,7,42.86,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,42.86,8,0.0
,4002701702,82,25.61,Tier 3,7,100.0,0,,0,,7,0.0,6,0.0,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,14.29,10,0.0
,6002400902,83,25.3,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
,5000600202,83,25.3,Tier 3,7,100.0,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
,3005702902,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0
Laurel Creek,16018413002,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,37.5
Venison Creek,16012401302,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0
,6006301402,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0
,4001305002,8,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,50.0,0,,0,,0,,4,0.0
,4001308902,8,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,50.0,0,,0,,0,,4,0.0
,4001309602,8,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,50.0,0,,0,,0,,4,0.0
,6005000202,93,24.73,Tier 3,8,62.5,1,0.0,1,0.0,8,0.0,8,25.0,8,0.0,0,,8,37.5,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,37.5,9,11.11
Porcupine River,19006400402,69,24.64,Tier 3,6,100.0,1,0.0,1,0.0,6,0.0,6,16.67,6,50.0,0,,6,66.67,6,0.0,0,,6,0.0,6,50.0,1,0.0,6,0.0,6,0.0,6,0.0
