Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 11,BiSp,Total coliform,18700000,96,18700000.0,96.0,Detected,5.289570373496931
Event 12,BiSp,Total coliform,437000000,1410,437000000.0,1410.0,Detected,5.491262324315042
Event 13,BiSp,Total coliform,1730000000,172,1730000000.0,172.0,Detected,7.002517656221246
Event 14,BiSp,Total coliform,2420000000,1200,2420000000.0,1200.0,Detected,6.304634119932807
Event 15,BiSp,Total coliform,326000000,144,326000000.0,144.0,Detected,6.354855107972689
Event 16,BiSp,Total coliform,2420000000,2420,2420000000.0,2420.0,Detected,6.0
Event 02,BrWo,Total coliform,29200000,6.3,29200000.0,6.3,Detected,6.666042301994836
Event 04,BrWo,Total coliform,40400000,18.3,40400000.0,18.3,Detected,6.343930275380176
Event 05,BrWo,Total coliform,11780000,12.2,11780000.0,12.2,Detected,5.984785459776335
Event 06,BrWo,Total coliform,35900000,68.3,35900000.0,68.3,Detected,5.720673744896787
Event 07,BrWo,Total coliform,25600000,12.1,25600000.0,12.1,Detected,6.325454594995399
Event 08,BrWo,Total coliform,26130000,BDL,26130000.0,1.0,Non-detect,7.4171394097273255
Event 09,BrWo,Total coliform,98700000,1553.1,98700000.0,1553.1,Detected,4.8031177329681185
Event 10,BrWo,Total coliform,17250000,54.6,17250000.0,54.6,Detected,5.499596456704555
Event 11,BrWo,Total coliform,290900000,574.8,290900000.0,574.8,Detected,5.7042269617848715
Event 12,BrWo,Total coliform,16100000,67.6,16100000.0,67.6,Detected,5.376879180090214
Event 13,BrWo,Total coliform,437000000,24.6,437000000.0,24.6,Detected,7.249546329867043
Event 14,BrWo,Total coliform,2420000000,95.9,2420000000.0,95.9,Detected,7.4019967588097675
Event 15,BrWo,Total coliform,200000,345,200000.0,345.0,Detected,2.7632109005907073
Event 16,BrWo,Total coliform,208000000,80.5,208000000.0,80.5,Detected,6.412267454594893
Event 01,NoWe,Total coliform,328200000,1203.3,328200000.0,1203.3,Detected,5.435764660015765
Event 02,NoWe,Total coliform,114500000,1046.24,114500000.0,1046.24,Detected,5.039174166657218
